ETC_20150211_000001	케파	Kepa
ETC_20150211_008415	스크립트설정	Set of script
ETC_20150211_008416	그룹이 선택되지 않았습니다.	Group was not selected.
ETC_20150211_008417	메시지를 입력하세요	Please enter a message
ETC_20150211_008418	조각의 개수를 입력하세요.	Please enter the number of work.
ETC_20150211_008419	더블클릭시 그룹 선택	Select Group by clicking double
ETC_20150211_008420	멍청이 ㅋㅋ 	Jerk (laughs)
ETC_20150211_008421	수량이 부족합니다.	The amount is low.
ETC_20150211_008422	모니	Moni
ETC_20150211_008423	키 사용하여 	You can use the key
ETC_20150211_008424	 스킬을 사용할 수 있습니다	You can use your skills
ETC_20150211_008425	스페이스 바\	Space bar \
ETC_20150211_008426	{@st41}대화 신청키{/}	{@st41}Dialog start key {/}
ETC_20150211_008427	{@st41}방향 이동키{/}	{@st41} Movement Direction {/}
ETC_20150211_008428	{@st41}공격키{/}	{@st41} Attack{/}
ETC_20150211_008429	{@st41}점프키{/}	{@st41} Jump {/}
ETC_20150211_008430	{@st41}대각선 이동키 {/}	{@st41} Diagonal Movement {/}
ETC_20150211_008431	{@st41}동시 입력!{/}	{@st41} Use together! {/}
ETC_20150211_008432	{@st59}파티원이 멀어져도 리스트에서 사라지지 않게 합니다{/}	{@st59}Although party player away from us, It does not disappear from the list {/}
ETC_20150211_008433	{@st59}퀘스트 진행 상태가 같다면 해당 파티원과 퀘스트를 공유 합니다{nl}두 캐릭터 모두 옵션 체크 시 기능이 동작합니다{/}	{@st59}If the state of quest proceeds is same with party, then share the quest{nl} This function will be activated when you check both character options. {/}
ETC_20150211_008434	{@st59}사냥 시 획득 경험치를 해당 파티원과 공유 합니다{nl}두 캐릭터 모두 옵션 체크 시 기능이 동작합니다{/}	{@st59} The experience of hunting is shared with party{/}This function will be activated when you check both character options. {/}
ETC_20150211_008435	조건을 1개 이상 선택해주세요.	Please select one or more conditions.
ETC_20150211_008436	{Auto_1}{nl}만족시에 다음규칙 적용	{Auto_1}{nl} if meet the rules, then apply the following rules
ETC_20150211_008437	값을 입력하세요.	Please enter a value.
ETC_20150211_008438	{Auto_1}~ {Auto_2} 사이의 값을 입력하세요	Please enter a value between {Auto_1} ~ {Auto_2}
ETC_20150211_008439	{a TOGGLE_PCMACRO_COND}{ul}또는{/}{/}	{A TOGGLE_PCMACRO_COND}{ul} or {/}{/}
ETC_20150211_008440	{a TOGGLE_PCMACRO_COND}{ul}그리고{/}{/}	{A TOGGLE_PCMACRO_COND}{ul} and {/}{/}
ETC_20150211_008441	동작을 1개 이상 선택해주세요.	Please select the operation of one or more.
ETC_20150211_008442	규칙 이름을 1자 이상 입력해주세요.	Please enter a name for the rule one or more characters.
ETC_20150211_008443	[{Auto_1}] : 이미 존재하는 규칙 이름입니다.	[{Auto_1}]: The rule name is already exists.
ETC_20150211_008444	{s22}정말로 의뢰를 포기하시겠습니까?	{s22} Do  you want to really give up the request?
ETC_20150211_008445	{s22}진행 중인 퀘스트가 아닙니다.	{s22} This quest is not progress.
ETC_20150211_008446	{nl} {nl}{s18}{ol}{#ffffcc}정말로 {@st41}[{Auto_1}]{/}{s18}{ol}{#ffffcc} 퀘스트를 포기하시겠습니까?{nl}해당 퀘스트는 포기 후 재시작이 불가능 합니다.	{nl} {nl}{s18}{ol}{#ffffcc} Really {@st41}[{Auto_1}]{/}{s18}{ol}{#ffffcc} Do want to give up the quest? {nl}You cannot restart after giving up the quest.
ETC_20150211_008447	{nl} {nl}{s18}{ol}{#ffffcc}정말로 {@st41}[{Auto_1}]{/}{s18}{ol}{#ffffcc} 퀘스트를 포기하시겠습니까?	{nl} {nl}{s18}{ol}{#ffffcc} Really {@st41} [{Auto_1}] {/}{s18}{ol}{#ffffcc} Do you want to give up the quest?
ETC_20150211_008448	{@st59}체크 하면 화면 오른쪽에 퀘스트 알리미가 나옵니다{nl}퀘스트 알리미는 최대 5개까지 등록 가능합니다{/}	{@st59} Once check, A quest notification menu should appear at right of screen{nl} Quest Notification menu is available to register up to 5 {/}
ETC_20150211_008449	 시작 가능합니다{/}	Start is possible{/}
ETC_20150211_008450	 진행 중입니다{/}	Progress {/}
ETC_20150211_008451	 보상을 받으세요{/}	Get rewarded {/}
ETC_20150211_008452	{@st43}미션 수행	{@st43} Perform missions
ETC_20150211_008453	{@st41}보상	{@st41} Rewards
ETC_20150211_008454	{@st41b}경험치 : 	{@st41b} Experience :
ETC_20150211_008455	{@st41}필요 아이템	{@st41} Items required
ETC_20150211_008456	{@st45tw}포기하기	{@st45tw} Give up
ETC_20150211_008457	지역으로{nl} 이동하시겠습니까?	Do you want to move {nl} the area?
ETC_20150211_008458	{Auto_1} 버프(완료)	{Auto_1} buff (completed)
ETC_20150211_008459	{Auto_1} 버프	{Auto_1} buff
ETC_20150211_008460	{Auto_1} (장착안됨)	{Auto_1} (Not installed)
ETC_20150211_008461	{s16}{ol}{#ffcc33}{Auto_1} 탐색률{nl}{Auto_2}%%/{Auto_3}%%	{s16}{ol}{#ffcc33}{Auto_1} Explore Rate {nl}{Auto_2} %% / {Auto_3} %%
ETC_20150211_008462	{cl}{s16}{ol}{#ffcc33}{Auto_1} 탐색률 완료	{cl}{s16}{ol}{#ffcc33}{Auto_1} Complete Navigation Rate
ETC_20150211_008463	{cl}{s16}{ol}{#ffcc33}{Auto_1} {Auto_2} 완료	{Cl}{s16}{ol}{#ffcc33}{Auto_1}{Auto_2} complete
ETC_20150211_008464	{b}보상	{b} Reward(s)
ETC_20150211_008465	경험치 : 	Experience :
ETC_20150211_008466	보상을 선택해주세요.	Please select the compensation.
ETC_20150211_008467	{@st45w3}{s18}{Auto_1} 1개	{@st45w3}{s18}{Auto_1} 1 개
ETC_20150211_008468	{@st41}반복 퀘스트 최종 완료{/}	{@st41} repeat quests finalized {/}
ETC_20150211_008469	{@st41}선택 보상	{@st41} Select Rewards
ETC_20150211_008470	{@st41}보상{/}	{@st41} Reward(s) {/}
ETC_20150211_008471	{s16}{ol}{Auto_1} {Auto_2} 개	{s16} {ol} {Auto_1} {Auto_2} ea
ETC_20150211_008472	{@st41b}선택 횟수 늘리기에 	{@st41b} Increase of select number
ETC_20150211_008473	(NXP{Auto_1} 소모)	(NXP {Auto_1} consumption)
ETC_20150211_008474	총 가격 : {Auto_1}	Total Price: {Auto_1}
ETC_20150211_008475	습득	Learn
ETC_20150211_008476	{@st42b}재매입	{@st42b} Buy Back
ETC_20150211_008477	{@st42b}영구제거	{@st42b} Permanent Removal
ETC_20150211_008478	{@st42b}취소	{@st42b} Cancel
ETC_20150211_008479	 서클	Circle
ETC_20150211_008480	 클래스를 레벨업하시겠습니까?	Do you want to level up your class?
ETC_20150211_008481	 클래스를 배우시겠습니까?	Do you want to learn the class?
ETC_20150211_008482	방명록	Guest Book
ETC_20150211_008483	친구	Friend
ETC_20150211_008484	개인상점	Private shop
ETC_20150211_008485	구매요청	Purchase Request
ETC_20150211_008486	물품거래	Item Trading
ETC_20150211_008487	용병계약	Mercenary contract
ETC_20150211_008488	제스쳐	Gesture
ETC_20150211_008489	{s14}{b}{ds}구매 수량	{s14}{b}{ds} Purchase Quantity
ETC_20150211_008490	총 가격 : 	Total Price :
ETC_20150211_008491	의 구매요청	Purchase Request of
ETC_20150211_008492	총 가격 : {Auto_1}, 수량 : {Auto_2} 개	Total Price: {Auto_1}, Amount : {Auto_2} ea
ETC_20150211_008493	의 게시판	Bulletin board
ETC_20150211_008494	스테이스터스 초기화에 	Initialization of stats
ETC_20150211_008495	NXP가 필요합니다.{nl} 초기화 하시겠습니까?	NXP is required. Are you sure you want to initialize the {nl}?
ETC_20150211_008496	{@st59}물리 공격력, 치명타 공격력 증가{/}	{@st59} Increase Physical Damage, Critical Damage{/}
ETC_20150211_008497	{@st59}HP, HP회복력, 치명타 저항, 최대 소지량 증가{/}	{@st59} Increase HP, HP Recovery, Critical Resistance, Max Inventory Slot{/}
ETC_20150211_008498	{@st59}마법 공격력, 블럭 관통 증가{/}	{@st59} Increase Magic Damage, Penetration Block{/}
ETC_20150211_008499	{@st59}명중, 회피, 치명타 발생 증가{/}	{@st59} Increase Accuracy, Evasion, Critical {/}
ETC_20150211_008500	] 카드를 사용하시겠습니까?	] Do you want to use the card?
ETC_20150211_008501	거리 	Distance
ETC_20150211_008502	{s16}{ol} 방어{/}{/}{/}{nl}{s18}{ol}	{s16}{ol} Defense {/}{/}{/}{nl}{s18}{ol}
ETC_20150211_008503	{s16}{ol} 종족{/}{/}	{s16}{ol} Race {/}{/}
ETC_20150211_008504	{s16}{ol} 방어{/}{/}{/}{s16}{ol} 	{s16}{ol} Defense {/}{/}{/}{s16}{ol}
ETC_20150211_008505	{@s16}{ol}{Auto_1}외 {a VIEW_LIKERS {Auto_2}}{ul}{#8888FF}{Auto_3}명{/}{/}{/}이 좋아합니다.{/}	{@s16}{ol}{Auto_1} and {a VIEW_LIKERS {Auto_2}}{ul}{#8888FF}{Auto_3} {/}{/}{/} like {/}
ETC_20150211_008506	{a OPEN_ACHIEVE 0}{#050505}{s24}[{Auto_1}]{nl}{s20}업적을 획득하였습니다.{/}{/}	You acquired {A OPEN_ACHIEVE 0}{#050505}{s24} [{Auto_1}] {nl}{s20} achievement. {/}{/}
ETC_20150211_008507	정보가 없습니다.	There is no information.
ETC_20150211_008508	이미 존재하는 이름입니다	The name is already exists
ETC_20150211_008509	로그를 입력하세요	Please enter a log
ETC_20150211_008510	로그를 입력해주세요	Please enter a log
ETC_20150211_008511	작성자 : {Auto_1}{nl}날짜 : {Auto_2}{nl}[{Auto_3}{Auto_4}{/}]값을{nl}[{Auto_5}{Auto_6}{/}]->[{Auto_7}{Auto_8}{/}]로 변경{nl}{nl}{#FFFF00}로그{/}{nl}{Auto_9}	Author : {Auto_1}{nl} Date : Value of {Auto_2}{nl} [{Auto_3}{Auto_4}{/}] change to {nl} [{Auto_5}{Auto_6}{/}] -> [{Auto_7}{ Auto_8}{/}] {nl}{nl}{#ffFF00} log {/}{nl}{Auto_9}
ETC_20150211_008512	 개의 값을 저장하였습니다.	The value number has saved.
ETC_20150211_008513	걷기속도	Walking speed
ETC_20150211_008514	뛰기속도	Run Speed
ETC_20150211_008515	고정속도	Fixed Speed
ETC_20150211_008516	{@st42b}{#FFFF00}마우스 클릭으로 각도 변경{/}	{@st42b}{#FFFF00} Change the angle by clicking a mouse {/}
ETC_20150211_008517	{@st42}이동:(컨트롤+드래그),삭제(우클릭){/}	{@st42} Move :(Control + Drag), Delete (Right Click){/}
ETC_20150211_008518	{@st42b}위치 이름을 입력하세요{/}	{@st42b} Please enter a location name {/}
ETC_20150211_008519	{@st42b}이미 존재하는 이름입니다{/}	{@st42b} The name is already exists{/}
ETC_20150211_008520	{@st42b}이동{/}	{@st42b} Move {/}
ETC_20150211_008521	{@st42b}나의캐릭터이동{/}	{@st42b} My character Moving {/}
ETC_20150211_008522	{@st42b}NPC배치{/}	{@st42b} NPC Placement {/}
ETC_20150211_008523	{@st42b}취소{/}	{@st42b} Cancel {/}
ETC_20150211_008524	{@st42b}각도변경{/}	{@st42b} Change the angle {/}
ETC_20150211_008525	{@st42b}앵커삭제{/}	{@st42b} Delete Anchor {/}
ETC_20150211_008526	{@st42b}범위지정{/}	{@st42b} Appoint Range{/}
ETC_20150211_008527	{@st42b}범위삭제{/}	{@st42b} Delete Range {/}
ETC_20150211_008528	{@st42b}제거{/}	{@st42b} Remove {/}
ETC_20150211_008529	{@st42b}찾아가기{/}	{@st42b} Visit {/}
ETC_20150211_008530	GenType이없음	There is no GenType
ETC_20150211_008531	고정스킬지정	Appoint Fixed skills
ETC_20150211_008532	고정스킬제거	Remove fixed Skills
ETC_20150211_008533	{@st42b}젠타입으로 드래그하세요{/}	{@st42b} Drag a zen type {/}
ETC_20150211_008534	메뉴	Menu
ETC_20150211_008535	개수변경	Change the number
ETC_20150211_008536	데미지MIN	Damage MIN
ETC_20150211_008537	데미지MAX	Damage MAX
ETC_20150211_008538	현재 배운 어빌갯수는 	The number has now learned abilities
ETC_20150211_008539	 채집에 실패하였습니다.	Failed to collect.
ETC_20150211_008540	 채집에 성공하였습니다.	Collected successfully.
ETC_20150211_008541	유저가 사용한 아이템의 축복을 받아 회복합니다.	You are recovering with blessing of the items used by users.
ETC_20150211_008542	유저가 사용한 아이템의 영향을 받아 몬스터가 무력해집니다.	Monsters becomes powerless due to the item used by users
ETC_20150211_008543	[디버그] 	[Debug]
ETC_20150211_008544	function명: 	function name:
ETC_20150211_008545	에러 발생	Happen Error
ETC_20150211_008546	노드 정보가 없습니다	There is no node information
ETC_20150211_008547	버프중에 총 공격한 카운트 :	The total count in the buff :
ETC_20150211_008548	job.xml의 전직 퀘스트가 설정되지 않음(None)	Advancement Quest of job.xml is not set up(None)
ETC_20150211_008549	소캣없거나 전부 사용 중이다	No socket or being used
ETC_20150211_008550	랭크부족하다.	Missing rank.
ETC_20150211_008551	이거쓰는거 제거해주셈. 특성포인트없애고 실버로 사는걸로 변경되었음.	N/A
ETC_20150211_008552	특성 포인트를 획득하였습니다	I has won the characteristic point
ETC_20150211_008553	마력 폭풍의 영향으로 골렘이 약화 되었습니다.	The Golem was weakened by the effect of storm magic.
ETC_20150211_008554	아무 일도 일어나지 않았다.	Nothing happened.
ETC_20150211_008555	가공된 정화석	Processed Purification Stones
ETC_20150211_008556	피노를 잡았다.	Took the Pino.
ETC_20150211_008557	피노의 저항이 심해 놓쳤다.	Pino missed as the resistance.
ETC_20150211_008558	루이나	Ruina
ETC_20150211_008559	 드랍타입	Drop Type
ETC_20150211_008560	 / 기준	/ Standard
ETC_20150211_008561	 / 최종 확률	/ Final Chance
ETC_20150211_008562	 / 설정 확률	/ Set Probability
ETC_20150211_008563	 / 보정 적용 확률	/ Correction applied probability
ETC_20150211_008564	Once : 한번에 빵~	Once : at a time ~
ETC_20150211_008565	Separate : 슬립줘서 뾰뵤뵹~	Separate : N/A
ETC_20150211_008566	세팅 시작 현재 시간 (분): 	Current time of start setting (in minutes):
ETC_20150211_008567	 NPC 등장 세팅 (분): 	Settings of NPC appearance (in minutes):
ETC_20150211_008568	다음 젠 타임 세팅 현재 시간 : 	Next Gen time of setting the current time:
ETC_20150211_008569	 딜레이 : 	Delay :
ETC_20150211_008570	NPC 생성 대기	Stand by NPC creation
ETC_20150211_008571	NPC 생성 120초 뒤 사라짐 	It disappear after 120 seconds of NPC creation
ETC_20150211_008572	 좌표 :	Coordinates :
ETC_20150211_008573	위험한 영혼	Dangerous soul
ETC_20150211_008574	세콰이아를 해치게 놔둘 순 없다!	You cannot rest Sequoio to be damaged!
ETC_20150211_008575	너 따위가 어지럽히게 놔두지 않겠다!	I am not going to let you to mess up!
ETC_20150211_008576	도와주셔서 고맙습니다...	Thanks for your help ...
ETC_20150211_008577	바세닌의 호위병	Guards of Vacenin
ETC_20150211_008578	사로잡힌 영혼	Captured Souls
ETC_20150211_008579	여신께 인도해줘!	Please lead me to Goddess!
ETC_20150211_008580	일어나라고!	When wake up!
ETC_20150211_008581	그 마족 녀석이 또 올지 몰라!	We don't know the devil come to here again!
ETC_20150211_008582	왜 우릴 도와주지 않는 거죠?	Why do not you help us?
ETC_20150211_008583	어떻게 해야 이 녀석을 깨울 수 있지?	How can we wake this guy?
ETC_20150211_008584	돌아가야 해...	And must go back ...
ETC_20150211_008585	인도해 주셔서 감사합니다...	Thank you for India ...
ETC_20150211_008586	MOD_AI체크용	For MOD_AI check
ETC_20150211_008587	타천사상	Devil Angel Statue
ETC_20150211_008588	추적트리거	Tracking trigger
ETC_20150211_008589	의 스피온	Spion of
ETC_20150211_008590	의 친구 몰트	Fined Malt of
ETC_20150211_008591	숭고한 베카라베1	Nobble Vekarabe 1
ETC_20150211_008592	숭고한 베카라베2	Nobble Vekarabe 2
ETC_20150211_008593	숭고한 베카라베3	Nobble Vekarabe 3
ETC_20150211_008594	숭고한 베카라베4	Nobble Vekarabe 4
ETC_20150211_008595	불길한 조형물	Unlucky Sculptures
ETC_20150211_008596	수상한 토병	Suspicious Solider
ETC_20150211_008597	체력 회복	Recover HP
ETC_20150211_008598	이거 사용하는 퀘스트들 제거해주셈여. 특성 실버로 사는걸로 바뀜.	N/A
ETC_20150211_008599	Goblin_Spear_red:부베 습격병:24	Goblin_Spear_red: Vubber Attacker : 24
ETC_20150211_008600	Goblin_Spear:부베 습격병:15/Goblin_Spear:부베 습격병:15/Goblin_Spear:부베 습격병:15/Goblin_Archer_red:부베 습격병:15	Goblin_Spear: Vubber Attacker : 15 / Goblin_Spear: Vubber Attacker : 15 / Goblin_Spear: Vubber Attacker : 15 / Goblin_Archer_red: Vubber Attacker : 15
ETC_20150211_008601	Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Archer_red:부베 아처 습격병:25	Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Archer_red: Vubber Attacker: 25
ETC_20150211_008602	봉인식	Seal Ceremony
ETC_20150211_008603	Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Archer_red:부베 습격병:25	Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Archer_red: Vubber Attacker: 25
ETC_20150211_008604	Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Archer_red:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/Goblin_Spear:부베 습격병:25/GoblinWarrior_red:루다스 부베 투사:26	Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Archer_red: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / Goblin_Spear: Vubber Attacker: 25 / GoblinWarrior_red: Ludas Vubber Fighter: 26
ETC_20150211_008605	Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Archer_red:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/Goblin_Spear:부베 습격병:26/GoblinWarrior_red:루다스 부베 투사:26	Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Archer_red: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / Goblin_Spear: Vubber Attacker: 26 / GoblinWarrior_red: : Ludas Vubber Fighter : 26
ETC_20150211_008606	불꽃증기	Flame steam
ETC_20150211_008607	미약한 불꽃증기	Feeble flame steam
ETC_20150211_008608	나무 약탈자	Tree looters
ETC_20150211_008609	나무 강탈자	Wood Robber
ETC_20150211_008610	미니그리바	Mini Gribar
ETC_20150211_008611	불길한 영혼	Sinister soul
ETC_20150211_008612	곰장군의 환영	Hallucination of Bear General
ETC_20150211_008613	침략자 사우르맨	Aggressor Saureumaen
ETC_20150211_008614	영혼의 성물함	Treasures of the soul
ETC_20150211_008615	타락한 영혼	Fallen soul
ETC_20150211_008616	정체불명의 몬스터	Unidentified monster
ETC_20150211_008617	bushspider_white:그리나스 크루마보:33	bushspider_white: Grynas Bushspider : 33
ETC_20150211_008618	banshee_purple_event:지뷰 밴시:34	banshee_purple_event: Jibyu Banshee : 34
ETC_20150211_008619	Bube_Goblin_Spear:하이 부베 창병:37/Bube_Goblin_Spear:하이 부베 창병:37/HighBube_Spear:하이 부베 창병:37/HighBube_Archer:하이 부베 궁수:37	Bube_Goblin_Spear: High Vubbe Spearman : 37 / Bube_Goblin_Spear: High Vubbe Spearman : 37 / HighBube_Spear: High Vubbe Spearman : 37 / HighBube_Archer: High Vubbe Archers : 37
ETC_20150211_008620	Mushroom_boy_red:루다스 미니 그리바:33	Mushroom_boy_red: Ludas Mini Griba : 33
ETC_20150211_008621	Mushroom_boy_red:루다스 미니 그리바:35	Mushroom_boy_red: Ludas Mini Gribar : 35
ETC_20150211_008622	보급품이 왔다!	Supplies has arrived!
ETC_20150211_008623	하마터면 굶어 죽을뻔 했습니다!	I'm dying with hunger!
ETC_20150211_008624	저는 아직 괜찮습니다...	I'm still good...
ETC_20150211_008625	 세번째 인자 UnHideNPC EX> 	The third argument UnHideNPC EX>
ETC_20150211_008626	기생 그리바	Gribar
ETC_20150211_008627	바세닌 호위병	Guards of Vacenin
ETC_20150211_008628	시험의 데드본	Deadborn of test
ETC_20150211_008629	숨어있던 영혼	Soul was hiding
ETC_20150211_008630	도망칠 수 없다!	it is not possible to get away!
ETC_20150211_008631	성난 포쿠부	Angry Pokubu
ETC_20150211_008632	악에 물든 병사	Soldier that was steeped in evil
ETC_20150211_008633	제가 따르던 분은 어디 갔죠?	Where is my followers?
ETC_20150211_008634	위장막	Disguise Tent
ETC_20150211_008635	빨리 앞장 서쇼.	You go first.
ETC_20150211_008636	좋은 게 좋은 거지. {nl}그렇지 않겠수?	Fair is fair. {nl} Don't you agree?
ETC_20150211_008637	길동무가 생기니 좋구먼.	Nice to have friends.
ETC_20150211_008638	크리스티나의 영혼	Soul of Christina
ETC_20150211_008639	jellyfish:공간 부유령:64/banshee_purple:공간 부유령:64	jellyfish: Rich Ghost of Space : 64 / banshee_purple: Rich Ghost of Space : 64
ETC_20150211_008640	장치가 작동 중입니다.	Equipment has been activated.
ETC_20150211_008641	Saurman_spearman:사우르맨 창병:68/Saurman_Axeman:사우르맨 도끼병:68/Saurman_Warrior:사우르맨 전사:68	Saurman_spearman: Saureu Man Spearman: 68 / Saurman_Axeman: Saureu Man Axe man: 68 / Saurman_Warrior: Saureu Man Warrior : 68
ETC_20150211_008642	Dandel-3:단델v3:69/Dandel-3:단델v3:69/Sauga_s-3:사우가v3:69/Dandel-3:단델v3:69	Dandel-3: Dandel v3: 69 / Dandel-3: Dandel v3: 69 / Sauga_s-3: Dandel v3: 69 / Dandel-3: Dandel v3: 69
ETC_20150211_008643	Dandel-3:언령 수호병:69/Dandel-3:언령 수호병:69/Sauga_s-3:언령 수호병:69/Zinute-3:언령 수호병:69	Dandel-3: Ghost Guardian: 69 / Dandel-3: Ghost Guardian: 69 / Sauga_s-3: Ghost Guardian: 69 / Zinute-3: Ghost Guardian: 69
ETC_20150211_008644	희망	Hope
ETC_20150211_008645	탐욕	Avarice
ETC_20150211_008646	맞습니다.	Fit.
ETC_20150211_008647	틀렸습니다.	Was wrong.
ETC_20150211_008648	게둘라의 제단을 다시 작동시켜 자카리엘의 용맹한 수호자를 불러내세요.	Call the brave Gedulah of jakariel by reactivating of altar of gedulah.
ETC_20150211_008649	지혜	Wisdom
ETC_20150211_008650	황금	Gold
ETC_20150211_008651	음식	Food
ETC_20150211_008652	대왕님이 당신을 기다리고 있습니다.	Great King are waiting for you.
ETC_20150211_008653	스비에사의 제단을 다시 작동시켜 자카리엘의 충직한 수호자를 불러내세요.	Call the faithful Sviesa of jakariel by reactivating of altar of Sviesa
ETC_20150211_008654	협곡장치	Device Canyon
ETC_20150211_008655	Zinute-2:특별한 힘에 끌린 지누테:32/Zinute-2:특별한 힘에 끌린 지누테:32/Zinute-2:특별한 힘에 끌린 지누테:32/Sauga_s:특별한 힘에 끌린 사우가:32/Sauga_s:특별한 힘에 끌린 사우가:32	Zinute-2: attracted Zinute to the extraordinary power: 32 / Zinute-2: attracted Zinute to the extraordinary power: 32 / Zinute-2: attracted Zinute to the extraordinary power: 32 / Sauga_s: attracted Sauga to the extraordinary power: 32 / Sauga_s: attracted Sauga to the extraordinary power: 32
ETC_20150211_008656	읏! 차.. 읏! 차..	Yo! heave! ho!
ETC_20150211_008657	뭔 놈의! 나무가! 이렇게! 단단해!	The tree is too hard!
ETC_20150211_008658	괴물이 나오면 어떡하지?	How can we do when the monster appears?
ETC_20150211_008659	뻘소리들 말고 힘내자고!	Don't complain, Cheer Up
ETC_20150211_008660	으럇! 차! 영.. 차!	Yo-ho!
ETC_20150211_008661	후! 진짜 끝이 없군!	Huh! it is never end!
ETC_20150211_008662	어이! 방해되니까 비켜!	Hey!  Get out of the way!
ETC_20150211_008663	거기 서있으면 다친다고!	You can get hurt at there!
ETC_20150211_008664	Spector_Gh:유령:31/HighBube_Spear:하이 부베 창병:31/Bube_Goblin_Spear:하이 부베 창병:31/HighBube_Archer:하이 부베 궁수:31	Spector_Gh: Ghost: 31 / HighBube_Spear: High Vubbe Spearman: 31 / Bube_Goblin_Spear: High Vubbe Spearman: 31 / HighBube_Archer: High Vubbe Archers: 31
ETC_20150211_008665	Spector_Gh:유령:31/HighBube_Spear:하이 부베 창병:31/HighBube_Archer:하이 부베 창병:31/high_Bube_Archer:하이 부베 궁수:31	Spector_Gh: Ghost: 31 / HighBube_Spear: High Vubbe Spearman: 31 / HighBube_Archer: High Vubbe Spearman: 31 / high_Bube_Archer: High Vubbe Archers: 31
ETC_20150211_008666	Spector_Gh:유령:32/Spector_Gh:유령:32/HighBube_Spear:하이 부베 창병:32/HighBube_Archer:하이 부베 창병:32/high_Bube_Archer:하이 부베 궁수:32	Spector_Gh: Ghost: 32 / Spector_Gh: Ghost: 32 / HighBube_Spear: High Vubbe Spearman: 32 / HighBube_Archer: High Vubbe Spearman: 32 / high_Bube_Archer: High Vubbe Archers: 32
ETC_20150211_008667	HighBube_Spear:하이 부베 창병:29/high_bube_spear:하이 부베 창병:29/HighBube_Archer:하이 부베 궁수:29	HighBube_Spear: High Vubbe Spearman: 29 / high_bube_spear: High Vubbe Spearman: 29 / HighBube_Archer: High Vubbe Archers: 29
ETC_20150211_008668	Spector_Gh:유령:31/HighBube_Spear:하이 부베 창병:31/high_bube_spear:하이 부베 창병:31/HighBube_Archer:하이 부베 궁수:31	Spector_Gh: Ghost: 31 / HighBube_Spear: High Vubbe Spearman: 31 / high_bube_spear: High Vubbe Spearman: 31 / HighBube_Archer: High Vubbe Archers: 31
ETC_20150211_008669	바세닌 직속 병사	Direct Soldiers of Vacenin
ETC_20150211_008670	난폭한 하밍	Rough Hamin
ETC_20150211_008671	지원병 브란	Volunteer Bran
ETC_20150211_008672	지원병 피트	Volunteers feet
ETC_20150211_008673	지원병 몰트	Volunteers malt
ETC_20150211_008674	저..녀석을 구해줘...	That guy ... Help me the guys ...
ETC_20150211_008675	Goblin_Spear:부베 약탈자:43/Goblin_Spear:부베 약탈자:43/Goblin_Spear:부베 약탈자:43/Goblin_Spear:부베 약탈자:43/Goblin_Spear:부베 약탈자:43/Goblin_Archer:부베 궁수:43	Goblin_Spear: Vubbe Robber: 43 / Goblin_Spear: Vubbe Robber: 43 / Goblin_Spear: Vubbe Robber: 43 / Goblin_Spear: Vubbe Robber: 43 / Goblin_Spear: Vubbe Robber: 43 / Goblin_Archer: Vubbe Robber: 43
ETC_20150211_008676	아니 몬스터들이!	Monsters!
ETC_20150211_008677	이 끈질긴 녀석!	The persistent guy!
ETC_20150211_008678	안녕하세요?	Hello?
ETC_20150211_008679	클라페다에 오신 것을 환영합니다.	Welcome to Klaipeda.
ETC_20150211_008680	녹스솬	Knox Su~an
ETC_20150211_008681	양팡	Yanpan
