QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_001208	 내기가 끝나자 산은 모데스타스씨의 바로 앞에 큰 암석을 솟아나게 하였습니다. 내기에 진 대가를 낸 것이지만, 그것은 모데스타스씨가 기대했던 물건이 아니었습니다.{nl}산이 내기의 대가로 지불한 것은 그냥 큰 암석이었던 것입니다. {nl}모데스타스씨가 기대한 것은 금은의 광맥이었고, 적어도 구리든 석탄이든 쓸만한 무엇이지 절대 큰 바위가 아니었습니다. {nl}	I have cell aside big rock in front of and betting is finished mountain model Stars's eye. I was issued a consideration that has lost the bet, but it was not intended model Stars san was expecting. {Nl} was paid as consideration of mountain thing, I just was a big rock. {Nl} The model Stars Mr. expect, gold is of vein, was at least copper also nothing in there is no absolute big rock thing that you can use coal. {Nl}
QUEST_20150211_001209	 또한 설령 산이 말한 광맥이 그냥 암석이었다고 하더라도 최소한 석재를 캘 수 있는 큰 채석장 의 주인 정도는 하게 될 것이라 생각했는데 산은 엉뚱한 대가를 내놓았습니다.{nl}모데스타스씨가 그 점을 따지자 산이 답했습니다.{nl}“네가 지닌 전 재산은 말 두 필과 수레 하나다. 	In addition, even if the mountain had lode only rock that was said, but I thought that it would be about large quarry owners to be able to dig at least stone to mountain has announced the price outrageous. {Nl} model Stars san reblogged mountain answer attempts to compute the point. {Nl} "all property have is Mr. words two Phil and is one of the wagon.
QUEST_20150211_001210	 당연히 내기는 자신이 지닌 것의 가치와 동등해야 한다. 이 암석은 그 정도의 가치가 있다.”{nl}그 말과 함께 산은 다시는 모데스타스씨도 다른 어떤 사람도 상대하지 않는 자신의 본 상태로 돌아갔습니다. {nl}모데스타스씨 처지에서는 중요한 기회를 큰 돌덩어리 하나를 얻는 일에 날린 셈입니다.{nl}불행중 다행히 마침 자신이 얻은 큰 암석을 실을 수레와 말을 가졌다는 점은 그나마 위안이 되었습니다.{nl}	Must of course bets without equal and value of their own of have been. This rock is, there is a value of the degree. "{Nl} not to other people also opponent mountain again model Stars's also along with the words, it was returned to the state that I can tell. In {nl} model Stars Mr. circumstances of, or large Dorudon'ori an important opportunity It is not flew to be obtained. {nl} point that a large rock which completed its got to be unhappy in Fortunately had a word and float the yarn it even now to the original. {nl}
QUEST_20150211_001211	 그리고 갑자기 불안한 생각이 들었는데 이제는 무조건 지는 일만 남았고, 이제까지 연속해서 일어난 이상한 일을 생각하면, 마지막 질 차례도 간단히 수습되지 않으리란 예감이 들었기 때문입니다.{nl}아무튼, 그 자리에 계속 머무를 수 없었기에 모데스타스씨는 그곳을 떠나려 했습니다.{nl}	And, is suddenly, now that anxiety mind heard, remained only that it unconditionally, given the strange things that happened in succession to this, the final Shitsu-do also because we are feeling neither to be easily out of control . {Nl} anyway, model Stars Mr. To was not able to stay subsequent to the place tried to leave there. {Nl}
QUEST_20150211_001212	 그런데 솟아오른 바위는 땅에 묻히거나 박혀 있어 움직일 수 없는 상태는 아니었지만, 그럼에도 모데스타스씨 혼자서는 움직일 수 없을 정도로 컸습니다. {nl}이까짓 돌덩이 그냥 두고 가려는 생각도 들었지만, 이 바위가 말 두 필과 수레 정도의 가치를 지녔다는 산의 말이 생각나서 그러기도 아까웠습니다. {nl}어디 채석장이나 석공에게 잘 팔면 어느 정도 돈이 될 것이란 생각이 들자 모데스타스씨는 싣지도 버리지도 못하는 처지가 되어 그 자리에서 고민하였습니다.{nl}	However, can bulge stones embedded in the ground, is embedded, although it was not a state unable to move, it was large enough to not be able to move the model Stars's one nonetheless. {Nl} Although big deal even if wanted to let us put only no stones heard, that also was close remembered the words of the mountain with a value of about two Phil and wagon this rock is said. {Nl} where quarry and models Stars, who thought the mention of becoming a how much money selling it well in masonry is made to wind up you can not even throw even put, was trouble on the spot. {Nl}
QUEST_20150211_001213	 그런 고민을 하던 모데스타스씨의 앞에 낯익은 사람이 나타났습니다. 나타난 사람은 처음 모데스타스씨와 내기를 시작한 수상한 노파였습니다.{nl}나타난 노파가 모데스타스씨에게 물었습니다.{nl}“어떤가? 잘 돼가고 있나?”{nl}	People who are familiar to the previous model Stars who had those concerns have noticed. Who appears, was an award-winning old woman started the first model Stars san and bet. {Nl} displayed old woman was asked to model Stars's. {Nl} "What? Is it successful?" {Nl}
QUEST_20150211_001214	 모데스타스씨는 솔직하게 벌기는커녕 밑지고 있고, 그나마 이길 차례는 다 날리고 질 차례만 한 번 남은 처지가 되기까지 모든 상황을 설명했습니다.{nl}모든 이야기를 다 듣고 노파가 말했습니다.{nl}“그럼 이제 질 차례만 남았으니 마지막 지는 내기를 하고 내게 진 내기 빚을 물어내면 되겠군.”{nl}모데스타스씨는 내기를 좋아하는 사람이었지 내기에 졌다고 억지를 부리거나 결과에 승복하지 않는 사람은 아니었습니다.	Model Stars Mr. If you are broke let alone get frankly, order to win on it until the multi-skip Shitsu-do only once the remaining circumstances, I explained all of the circumstances. {Nl} and then all of the story heard old woman was saying. {Nl} "So, because I left now only quality level by the end of the losing bet, I while the inner face listening to the debt that I had." {Nl} model Stars Mr. and lost the bet I was the one who likes a bet You can stretched deterrence, people that do not Shofuku the results did Mase.
QUEST_20150211_001215	 다만 이 내기에 걸린 것이 그저 돈만이 아니라는 점이 마음에 걸렸을 뿐입니다.{nl}그래서 모데스타스씨는 성실한 내기꾼으로서 고개를 끄덕였고, 마음에 부담을 지닌 사람으로서 끄덕이는 표정은 어두웠습니다. {nl}그런 모데스타스씨의 심리를 읽었는지 어쨌는지 노파는 이런 제안을 했습니다.{nl}	However, it is only that it took to this thing is applied to the mind is that it is not only money only. {Nl} So model Stars san is nodded as sincere thing shop, facial expressions nod as a person with a burden in my heart it was dark. {Nl} then anyway or old woman do I read the psychology of model Stars san, made this such a proposal. {Nl}
QUEST_20150211_001216	 “자네가 뜻하지 않게 얻은 이 바위를 어찌 운반할지 고민한다니, 이렇게 하면 어떤가? 나는 보통이미 정한 조건을 바꾸지 않지만, 이번에는 재미를 위해 특별히 추가 제안을 하지. 마지막 남은 질 차례 내기로 내가 이 바위를 자네 수레에 올릴 수 있을지 없을지 보는 것이 어떤가? 설령 진다 해도 자네는 이 무거운 바위를 수레에 싣는 도움을 받을 수 있지.”{nl}	What if it is assumed that worry carry this rock that you got wrong, What if this way? I usually, but does not alter the already given conditions, this time was special additional suggestions for fun Tei. By the last remaining quality of turn, as even you I was this rock what? even if it is seen or not whether you can be raised to the wagon, not be able to get help to put this heavy rock in wagon . {nl}
QUEST_20150211_001217	 모데스타스씨는 어차피 질 내기에 그 정도 조건이면 마다할 이유가 없었기에 고개를 끄덕여 승낙을 표시했습니다. 그러나 그 승낙의 몸짓이 끝나기 전에 노파의 말이 이어졌습니다. {nl}“그렇지만 그런 유리한 제안을 그냥 던질 수는 없지. 그러니 한 가지 조건을 추가함세.”{nl}	Since the model's Stars had no reason to refuse if anyway of the extent to quality betting conditions, we display the consent nod your head. However, I had in the words of an old woman before the gesture of the consent is finished. {Nl} "afford to not throw as it is such a favorable proposal any time. So add one condition Hamuse." {Nl}
QUEST_20150211_001218	 모데스타스씨가 그것이 무엇인지 묻자 노파가 말했습니다.{nl}“자네는 내가 올릴 바위를 수레에 싣고 클라페다에 가게. 그리고 클라페다의 모든 사람들이 인정할 가치가 있는 물건으로 바꾸게. 그런 바꿈에 성공한다면 애초의 내기의 전제 조건이었던 자네 주변 사람들도 아무 일이 없을 걸세. 자네는 어차피 내기에 졌으니 이것은 어렵다고는 하지만, 그래도 한 번 더 자네에게 기회를 주는 일이지. 어떤가?”{nl}이번에도 모데스타스씨에게는 선택의 여지가 없었습니다.	Model Stars san, When asked what it is, said the old woman. {Nl} "kun go to Klaipeda placed on wagon stones to raise me. And changing to what is worth admit all the people of Klaipeda. If successful in such a newline, the premise of the original bet I would have no people for many days around you was a condition. Since you became anyway thing, albeit that this is difficult, but still you by giving a chance again. What? "{nl } This time also to model Stars's did not have a choice.
QUEST_20150211_001219	 모데스타스씨가 승낙하자마자 노파는 손가락으로 모데스타스씨의 뒤를 가리켰습니다. {nl}모데스타스씨가 고개를 돌리자 놀랍게도 어느 사이에 바위는 수레 위에 기척도 없이 올려져 있었습니다. 그리고 모데스타스씨가 고개를 다시 돌려 노파를 보자 노파마저 사라진 사실을 알게 되었습니다.{nl}	Soon old woman and model Stars Mr. consent was pointed to after the model's Stars in the finger. {Nl} Once the model Stars Mr. turning the neck, Surprisingly, stone between Which is neither sign on top of the wagon, it had raised. And, it was learned that the model Stars Mr. disappears even old woman Let's look at the old woman to return the head. {Nl}
QUEST_20150211_001220	 모데스타스씨는 바위를 고정시킬 밧줄이나 다른 장비가 없었기에 바위가 수레에서 기울거나 떨어지지 않도록 조심하며 수레를 클라페다로 몰았습니다. {nl}그렇게 클라페다로 가던 모데스타스씨는 자신과 내기를 했던 병사들을 도중에 다시 만났습니다.병사들을 인솔하던 장교는 그간의 사정을 들었다며 부하들의 내기에 휘말려 모데스타스씨가 손해를 본 일이 미안하다고 했습니다.{nl}	Since the model's Stars had no ropes or other equipment to fix the rock, rock drove the wagon while careful not to fall or inclined at wagon to the Klaipeda. Model Stars Mr. toward the so Klaipeda {nl} was reunited in the middle of the soldiers who had been his own and bet. Officials who had led the soldiers, was sorry that the model Stars Mr. been caught in that of subordinates to have heard the circumstances of the past have suffered damage. {Nl}
QUEST_20150211_001221	 장교는 모데스타스씨의 금괴를 돌려주면서 모데스타스시가 바위를 클라페다로 운반한다고 하자 그 일을 돕겠다고 말했습니다.{nl}	Officials told that the help that day trying to be carrying a model star sushi rock to the Klaipeda while Returns the model Stars's gold. {Nl}
QUEST_20150211_001222	 장교와 병사들은 튼튼한 밧줄로 바위가 흔들리거나 떨어지지 않도록 수레에 묶은 후 클라페다에서 바위를 내릴 수 있도록 도시까지 동행해 도움을 주겠다고 나섰습니다. {nl}모데스타스씨는 그런 도움에 감사하면서 병사들의 도움을 고맙게 받아들였습니다.{nl}그렇게 병사들과 클라페다로 가던 모데스타스씨는 내기 상대이던 알케미스트와도 마주쳤습니다.	Officers and soldiers, or shaking rock with sturdy rope, after being surrounded by the wagon so that it is not falling, came out to give help to accompany to the city so that it is possible to make a rock on the Klaipeda. {Nl} model Stars Mr. accepted appreciate the help of soldiers while thanks to such help. {Nl} model Stars Mr. towards the so soldiers and Klaipeda was encountered with Alchemist was opponent of betting.
QUEST_20150211_001223	 모데스타스씨는 어쨌거나 약속은 약속이었기에 노상에서 알케미스트를 마주치자마자 병사들에게 돌려 받은 금괴를 주었습니다. {nl}알케미스트는 모데스타스씨가 별다른 불만이나 항의 없이 선선히 금괴를 주자 놀랐는지 당황스러웠는지 모데스타스씨와 대화를 나눴습니다.	Since the model's Stars was anyway promise promise, gave me a gold returned to immediately soldiers When hit the alchemist on the street. {Nl} alchemist was signed model Stars Mr. is whether model Stars san was panic easily Did surprised that give the gold without special discontent and protest with the conversation.
QUEST_20150211_001224	 설령 그렇지 않으려 해도 주변의 병사들이 모데스타스씨와 알케미스트 사이의 일을 궁금해했기 때문에 모두에게 그간의 이야기를 하지 않을 수 없었지요. {nl}그래서 병사들과 알케미스트는 각자 모데스타스씨와 얽힌 사연을 나누었습니다. 알케미스트는 납을 금으로 바꿔서 모데스타스씨에게 수작을 부린 일이 미안해졌습니다. 그래서 모데스타스씨가 클라페다에 도착하면 도울 수 있도록 조치를 하겠다고 말하고 사라졌습니다.{nl}	It is soldiers around there was no possibility that it is not to everyone because you care about the work between the model's Stars and alchemist talking about so far, even if otherwise. {Nl} So soldiers and alchemist divides the episodes and model Stars Mr. respectively. Alchemist is, that drew the words to model Stars's by changing the lead to gold was sorry. So the model Stars Mr. arrives at the Klaipeda, and disappeared to say that to the measures to be able to help. {Nl}
QUEST_20150211_001225	 그후에 모데스타스씨와 병사들은 클라페다에 도착했고 모데스타스씨는 병사들의 도움으로큰 바위를 클라페다 중앙의 공터에 내려놓을 수 있었습니다. {nl}	Then model Stars san and soldiers, model Stars Mr. arrived at the Klaipeda with the help of soldiers, was able to put down a big rock in the middle of the Klaipeda vacant lot. {Nl}
QUEST_20150211_001226	 그리고 바위가 병사들에 의해 막 제자리를 잡았을 때 떠났던 알케미스트가 한 사람을 데리고 도착했습니다. 알케미스트가 데려온 사람은 유명한 조각가이자 딥디르비였습니다. {nl}딥디르비를 데려온 알케미스트가 말했습니다.{nl}“이 바위로 클라페다의 중앙인 이곳에 여신상을 조각하지 않겠나? 이 바위가 여신상으로 바뀐다면 클라페다의 누구도 그 가치를 인정하지 않을 수 없을 것일세. 그렇게 하면 자네가 노파와 세운 조건은 충족된다고 생각하네.”{nl}	And Alchemist that rock away when took the membrane position by soldiers arrived and brought one person. who Alchemist has brought is a famous sculptor, was Dievdirby . {Nl} alchemist you have brought Dievdirby says. {Nl} "is the center of the Klaipeda to rock, everyone of Klaipeda if here or not carving the image? This rock has changed to the goddess image, I thing you have to admit its value If. so, the conditions under which you were raised with the old lady, and Ne considered to have been met. "{nl}
QUEST_20150211_001227	 그 자리에 있던 모든 사람이 그 생각에 찬성했습니다. {nl}알케미스트는 자신이 모데스타스씨에게 얻은 금괴를 딥디르비에게 수고비로 미리 지급했고, 장교는 클라페다의 기사단장과 주교 등을 만나서 허락을 얻기로 했으며,	All people who were on the spot was in favor of the idea. {Nl} Alchemist is, he or she is to advance to thank the gold obtained in model Stars's Dievdirby , officials decided to get permission to meet in such knight leader and bishop of Klaipeda,
QUEST_20150211_001228	 이 일이 알려진 후에는 클라페다의 시민들도 도시 중앙에 여신상을 세우는 일에 모두 기뻐했습니다. {nl}다만 모두의 찬성을 얻을 수 없는 딱 한 가지 문제가 남게 되었습니다. 그것은 과연 어느 여신을 기념하는 여신상을 세울 것인가 하는 문제였습니다. {nl}특히 이 석재를 운반하는 일에 도움을 줬던 병사들은 이 문제로 또 다시 크게 싸울 뻔 하기도 하였습니다.{nl}	This means that after the known, I was pleased all that make a statue in the city center also citizens of Klaipeda. {Nl} was just all one problem that can not be obtained favor remains. It was a question of whether make a statue to commemorate what goddess really. {Nl} especially soldiers who gave help to carry this stone, there was also a place to fight big again on this issue. {Nl}
QUEST_20150211_001229	 이 문제를 해결한 사람은 다름 아닌 모데스타스씨였습니다. {nl}모데스타스씨는 의도한 바는 아니지만 결국, 자신이 클라페다 여신상을 세우는 일에 주도자가 된 일에 여신께서 그를 인도하신 섭리가 있다고 생각했습니다. {nl}	Who solved this problem was the model Stars's none other than. {Nl} model Stars Mr. does not have a place intended, ultimately, it was thought that he is providence that the goddess on the day it became initiative that make a Klaipeda image guided him. {Nl}
QUEST_20150211_001230	 늙은 모습으로 나타나 내기를 거시고, 산을 움직여 석재를 내주신 일이 모두 여신의 섭리임을 깨닫고 다른 사람들에게도 그 사실을 설명하고 설득하였습니다. {nl}그리하여 사람들은 모데스타스씨의 말을 따르기로 하였고, 모데스타스씨가 딥디르비를 통해 여신상을 완성하도록 허락했습니다. {nl}마침내 여신상이 완성되었을 때, 클라페다의 사람들은 과연 클파페다의 사람들은 그들이 사랑하는도시의 중심에 세워진 여신상이 과연 어떤 여신을 기리는 조각상인지 궁금해하며 모였습니다.{nl}	It was determined bet appeared in old form, by moving the mountain is realized that it was dedicated the stone is the providence of all of the goddess, was persuaded by explaining the facts to other people. {Nl} Thus, people decided to follow the words of the model's Stars, model Stars san was allowed to complete the image through the Dievdirby . {Nl} finally when the image is complete, that the people of Klaipeda really big Perfect Dano people, they are image honoring the beloved really what goddess statue, which was built in the heart of the city was gathered and is wondering. {Nl}
QUEST_20150211_001231	 그러나 당혹스럽게도 클라페다의 사람들은 완성된 여신상을 보고도 그것이 누구의 형상을 따른 여신상인지 알 수 없었습니다.{nl}	However, people of Klaipeda while the puzzles are also looking at the statue has been completed, it was not able to know that it is the image along to anyone of shape. {Nl}
QUEST_20150211_001232	 여신상을 조각한 딥디르비는 카틴의 깊은 숲 속으로 사라져서 행방을 알 수 없었기에 클라페다의주민들은 모데스타스씨에게 끊임없이 질문했습니다. {nl}그러나 무수한 질문에도 모데스타스씨로부터 답을 얻은 사람은 없었습니다. {nl}여하간 이것이 현재 클라페다의 여신상이 세워진 경위입니다. 지금도 그 여신상은 클라페다의 중앙에 놓여 있지요.{nl}	Dievdirby was carving the statue, so was not able to know the whereabouts and disappeared in the deep forest of Katyn, the residents of Klaipeda, was constantly asked to model Stars's. {Nl} However, there was no to the person who got the answer from the model Stars's also a myriad of questions. Anyway {nl}, this is the story Built Statue of current Klaipeda. I The statue has been placed in the center of the Klaipeda even now. {Nl}
QUEST_20150211_001233	 그리고 어떤 분들은 모데스타스씨가 이러한 여신의 간섭으로 인해 내기를 안 하는 성실한 사람이 되었는지 궁금하실 분들이 있을 것으로 생각합니다.{nl}사실을 말하면 모데스타스씨는 죽을 때까지 내기를 그만두지 않았습니다.{nl}	And how a person, model Stars Mr., I think there is more of that to worry that there are honest people who do not bet for interference of these goddess. Model Stars's speaking the fact {nl} did not stop bets until his death. {Nl}
QUEST_20150211_001234	 다만 모데스타스씨는 내기의 대가로 오직 한 가지를 걸었는데 그것은 클라페다의 여신상이 과연 누구를 기리는 것이냐 하는 질문에 대한 해답이었습니다.{nl}그리고 많은 사람이 그 질문에 대한 해답을 얻기 위해 모데스타스씨에게 도전했습니다.{nl}그러나 그 어떤 불가능해 보이는 조건에서도 모데스타스씨는 내기에 지지 않았습니다. 따라서 아무도 모데스타스씨에게서 여신상의 의문을 풀지 못한 채 세월이 흘러갔습니다.{nl}	However model Stars san was the answer to the question of whether honor who really is Statue of it class fader to apply only one as consideration for the bet. {Nl} and a lot of people I tried to model Stars's in order to get the answer to that question. {Nl} However, model Stars Mr. does not have lost the bet even in conditions that appear to the some of the impossible. Therefore, everyone was flow years remained free to solve the question of the image from the model's Stars. {Nl}
QUEST_20150211_001235	 모데스타스씨는 죽을 때까지 내기에 지지 않는 불패의 내기꾼으로 죽었지만, 이미 언급한 것처럼 다른 내기는 전혀 하지 않는 삶을 살았고, 여신상의 비밀을 건 내기로 생긴 이득도 대부분 주위에 나누는 삶을 살다 세상을 떠났습니다.{nl}	Model Stars Mr. died in betting shop Undefeated not lost the bet to the death, but as already mentioned, other bets live a life that is not at all, gain even most caused by multiplying the secret image I have left the world to live a life to share around. {Nl}
QUEST_20150211_001236	 결국, 미지의 여신께서는 클라페다의 한 내기꾼의 삶에서 내기를 거둬가시는 대신에 흥미로운 질문과 아름다운 여신상 하나를 클라페다의 중앙에 놓아두신 셈입니다. {nl}{nl}	Ultimately, is not unknown goddess was placed placed or interesting questions and beautiful statue instead of being go enjoyed betting in the life of betting shop Klaipeda in the middle of the Klaipeda. {Nl} {nl}
QUEST_20150211_001237	기사 티타스에게	Talk To Knight Titas
QUEST_20150211_001238	정찰병에게	To the scout
QUEST_20150211_001239	클라페다로 가는 길	Road to Klaipeda
QUEST_20150211_001240	전투 조장에게	To the Battle Commander
QUEST_20150211_001241	경계병의 부탁	Sentinel's Favor
QUEST_20150211_001242	뜻대로 되지 않는	Not as intended
QUEST_20150211_001243	아라스의 의뢰	Commission of Aras
QUEST_20150211_001244	보급병의 부탁	Supply Solider's Favor
QUEST_20150211_001245	석공가문의 보물지도	Sokugonga inquiries treasure map
QUEST_20150211_001246	탐험가의 부탁	Explorer's Favor
QUEST_20150211_001247	탐험가의 일지 소각	Incenarate the Explorer's Journal
QUEST_20150211_001248	그들을 추모하며	In their honor
QUEST_20150211_001249	신경 쓰이는 임무[사이코키노 전직]	Mission anxious [Psychokino Advancement]
QUEST_20150211_001250	세상에 없던 책[링커 전직]	There was no book in the world [Linker Advancement]
QUEST_20150211_001251	도둑이 제발[새퍼 전직]	Please be a thief [Sapper Advancement]
QUEST_20150211_001252	활이 꿈꾸는 책1[헌터 전직]	Bow dream this one [Hunter Advancement]
QUEST_20150211_001253	활이 꿈꾸는 책2[쿼렐슈터 전직]	Bow dream book 2 [Quarrel Shooter Advancement]
QUEST_20150211_001254	활이 꿈꾸는 책3[아처 전직]	This bow dreams 3 [Archer Advancement]
QUEST_20150211_001255	활이 꿈꾸는 책4[레인저 전직]	This bow dream 4 [Ranger Advancement]
QUEST_20150211_001256	꽃보다 방패[하이랜더 전직]	Shield from flower [Highlander Advancement]
QUEST_20150211_001257	맹약에 대한 도리[펠타스타 전직]	Sense of covenant [Peltasta Advancement]
QUEST_20150211_001258	한철의 전설[크리오맨서 전직]	Legend of Hanchoru [Clio Mansour Advancement]
QUEST_20150211_001259	노력은 배신하지 않는다[위저드 전직]	Effort will not betray [Wizard Advancement]
QUEST_20150211_001260	완벽한 성수[클레릭 전직]	Perfect holy water [Cleric Advancement]
QUEST_20150211_001261	플레쳐의 비법[쿼렐슈터 전직]	Tricks of Fletcher [Quarrel Shooter Advancement]
QUEST_20150211_001262	페디미안의 보완자[아처 전직]	Fedimian supplement's [Archer Advancement]
QUEST_20150211_001263	페디미안의 탐문자[레인저 전직]	Ride character Ranger turnover of Fedimian]
QUEST_20150211_001264	조심스런 행보[새퍼 전직]	Careful History [Sapper Advancement]
QUEST_20150211_001265	모델 찾기[딥디르비 전직]	Model search [Dievdirby Advancement]
QUEST_20150211_001266	태양이 비출 자리[파이로맨서 전직]	seat the sun shines [change jobs in the pie romantic]
QUEST_20150211_001267	페디미안의 수호자[위저드 전직]	Fedimian guardian Wizards Advancement]
QUEST_20150211_001268	전리품	Booty
QUEST_20150211_001269	하늘에서 나타난 공포	Fear that emerged from the sky
QUEST_20150211_001270	실성한 기록관	Certainty record officer
QUEST_20150211_001271	자카리엘의 눈	Zasharieru eyes
QUEST_20150211_001272	병사의 소중한 물건	Important ones of soldiers
QUEST_20150211_001273	대왕의 관문으로 가는 길 확보	And ensure the road to the Great barrier
QUEST_20150211_001274	끝나지 않는 임무	Mission that does not end
QUEST_20150211_001275	부질없는 명예	Boring honor
QUEST_20150211_001276	사라진 연구원	Disappeared researcher
QUEST_20150211_001277	영업 방해	Business interference
QUEST_20150211_001278	신경쓰이는 실종	Missing to be worried about
QUEST_20150211_001279	신입 왕릉 연구원의 부탁	Ask researchers of new King Mausoleum
QUEST_20150211_001280	요나스의 약	About Jonas
QUEST_20150211_001281	중앙 정화장치 수리	Repairing Central Purifier
QUEST_20150211_001282	통로 정화장치 가동	OperatingPasage Purifier
QUEST_20150211_001283	순환 정화장치의 문제	Circulation Purifier problem
QUEST_20150211_001284	작동을 멈춘 보조 정화장치	Secondary Purifier stopped working
QUEST_20150211_001285	주 정화장치의 파괴범	Destroyer of the Main Purifier
QUEST_20150211_001286	나무껍질의 비밀	Secret of bark
QUEST_20150211_001287	날개 조각	Part of the wing
QUEST_20150211_001288	왕가의 봉인	Seal of the royal family
QUEST_20150211_001289	용병 모집	Mercenary recruitment
QUEST_20150211_001290	끝나지 않은 의뢰	Request that does not end
QUEST_20150211_001291	사우가스에 대한 정보	Information about Saugus
QUEST_20150211_001292	광산 마을 탐문	Investigate Miner's Village
QUEST_20150211_001293	광산 소장 브링커의 헌신	Dedication of Brinker
QUEST_20150211_001294	치유사 아가씨의 고민	Agony of the Healer Lady
QUEST_20150211_001295	영혼의 힘 완성	Soul forces completed
QUEST_20150211_001296	미련많은 영혼들	Regret many souls
QUEST_20150211_001297	위령제	Memorial service
QUEST_20150211_001298	위험한 쓰론위버	Dangerous Sloan Weaver
QUEST_20150211_001299	잘못된 구원	the wrong salvation
QUEST_20150211_001300	마지막 임무	Last mission
QUEST_20150211_001301	사라진 부대원	Disappeared unit members
QUEST_20150211_001302	보급부대는 어디에	Where is the supply troops
QUEST_20150211_001303	큰뿌리 벌의 재앙	Disaster of large root clothes
QUEST_20150211_001304	보급로 확보	Ensure the supply route
QUEST_20150211_001305	약탈자의 잔재	Residue of looters
QUEST_20150211_001306	고요의 숲	Forest of silence
QUEST_20150211_001307	독 안에 든 영혼	Soul that has entered into the poison
QUEST_20150211_001308	숲에 스며든 마족	Asmodian you have soaked in the forest
QUEST_20150211_001309	영혼 사냥꾼	Soul of Hunter
QUEST_20150211_001310	관문 열기	Is expand the barrier
QUEST_20150211_001311	헤메는 영혼	soul get lost
QUEST_20150211_001312	조각가의 시험	Test of sculptor
QUEST_20150211_001313	수호자의 항아리	Protector of pot
QUEST_20150211_001314	불을 밝혀라	Try to clear the fire
QUEST_20150211_001315	불을 밝히자	To reveal the fire
QUEST_20150211_001316	마력의 해방	Release of horsepower
QUEST_20150211_001317	숨겨진 곳	location hidden
QUEST_20150211_001318	긴급상황	Emergency
QUEST_20150211_001319	오염된 석등	The contaminated stone lantern
QUEST_20150211_001320	정신차려!	Firmly White!
QUEST_20150211_001321	옛날 이야기	Old story
QUEST_20150211_001322	수상한 약초꾼	The award-winning Yakuchokun
QUEST_20150211_001323	멋진 병사가 되기 위해	To become a nice soldier
QUEST_20150211_001324	영원한 친구	Friends forever
QUEST_20150211_001325	성당 정문	Front door of the Cathedral
QUEST_20150211_001326	역사에 남을 속임수	Fraud to remain in history
QUEST_20150211_001327	빛의 습격	Attack of light
QUEST_20150211_001328	숨겨진 성소	Hidden sanctuary
QUEST_20150211_001329	예견된 위기	Expected crisis
QUEST_20150211_001330	보물찾기	Treasure hunting
QUEST_20150211_001331	사라진 연구단	Disappeared investigation team
QUEST_20150211_001332	사학자 렉시퍼의 연구	Research of historians Lexi fur
QUEST_20150211_001333	마족의 간계	Asmodian trick
QUEST_20150211_001334	위조범 소탕	Mopping of counterfeiting offenses
QUEST_20150211_001335	렉시퍼의 본색	Nature of Lexi fur
QUEST_20150211_001336	현지 조달	Local procurement
QUEST_20150211_001337	유적보호	Protection of the ruins
QUEST_20150211_001338	영생의 네펜더스	Four fender vinegar eternal life
QUEST_20150211_001339	파수꾼의 저력	Underlying strength of the keeper
QUEST_20150211_001340	협상	Negotiation
QUEST_20150211_001341	국민과 방패를 위한 검	Sword for a people and shield
QUEST_20150211_001342	날짐승의 방해	interference of creatures that fly
QUEST_20150211_001343	첫 번째 화살	The first arrow
QUEST_20150211_001344	별의 흔적	Another trace
QUEST_20150211_001345	마지막 명령	Last command
QUEST_20150211_001346	석화서리 예보	Petrochemical frost forecast
QUEST_20150211_001347	선의의 거짓말	Good faith of the lie
QUEST_20150211_001348	손아귀 속으로	In hands
QUEST_20150211_001349	청소꾼	Cleaning crew
QUEST_20150211_001350	대탈출 포탈	Great Escape portal
QUEST_20150211_001351	한통속	Accomplice
QUEST_20150211_001352	작은 차이	Small differences
QUEST_20150211_001353	돌이킬 수 없는 사고	Accident irreparable
QUEST_20150211_001354	주술적 견해	Magical view
QUEST_20150211_001355	땅 위에서 즐기는 낚시	Ground enjoy fishing
QUEST_20150211_001356	학구열	Academic heat
QUEST_20150211_001357	꿀 때문이야	Because of the honey
QUEST_20150211_001358	두 친구의 우정	Friendship of two friends
QUEST_20150211_001359	세개울 몬스터들의 목적	The purpose of the three Ogawa monster
QUEST_20150211_001360	세개울의 제단	Altar of three Ogawa
QUEST_20150211_001361	경작지의 비밀	Secret of farmland
QUEST_20150211_001362	여신의 힘이 깃든 땅	Goddess of power rice is land
QUEST_20150211_001363	허수아비 손이라도	Even in the hands of the Scarecrow
QUEST_20150211_001364	부서진 봉인탑	Tower of broken seal
QUEST_20150211_001365	청년 요술사 오윈	Youth Yosurusaou~in
QUEST_20150211_001366	현혹의 증거	Evidence of dazzling
QUEST_20150211_001367	봉인된 영혼	Sealed soul
QUEST_20150211_001368	수상한 항아리	The award-winning pot
QUEST_20150211_001369	도대체 무슨 죄를 지었기에	And because it was what crime the heck
QUEST_20150211_001370	수상한 상자	The award-winning box
QUEST_20150211_001371	너무 많은 봉인석	Too many of sealed stone
QUEST_20150211_001372	변이술사 퍼리 오드	Ord mutations nurses fur
QUEST_20150211_001373	열혈남아 사이먼 쇼우	Cruel Simon Shaw
QUEST_20150211_001374	수상한 봉인석들의 정체	The award-winning identity of the seal stone
